id,spec,grade,wear,temp,target_torque,speed,label,label_name,length
E0001,M12,8.8,0,-10,80.0,132.76,0,合格,73
E0002,M16,10.9,1,20,180.0,153.1,0,合格,86
E0003,M20,12.9,2,50,320.0,172.47,0,合格,91
E0004,M24,8.8,0,-10,520.0,166.06,0,合格,138
E0005,M12,10.9,1,20,80.0,126.93,0,合格,76
E0006,M16,12.9,2,50,180.0,184.42,0,合格,66
E0007,M20,8.8,0,-10,320.0,144.62,0,合格,126
E0008,M24,10.9,1,20,520.0,141.75,0,合格,149
E0009,M12,12.9,2,50,80.0,113.6,0,合格,77
E0010,M16,8.8,0,-10,180.0,131.09,0,合格,108
E0011,M20,10.9,1,20,320.0,135.94,0,合格,126
E0012,M24,12.9,2,50,520.0,176.33,0,合格,107
E0013,M12,8.8,0,-10,80.0,112.95,0,合格,86
E0014,M16,10.9,1,20,180.0,166.91,0,合格,80
E0015,M20,12.9,2,50,320.0,125.99,0,合格,123
E0016,M24,8.8,0,-10,520.0,156.56,0,合格,145
E0017,M12,10.9,1,20,80.0,165.8,0,合格,57
E0018,M16,12.9,2,50,180.0,171.78,0,合格,73
E0019,M20,8.8,0,-10,320.0,158.36,0,合格,120
E0020,M24,10.9,1,20,520.0,185.1,0,合格,111
E0021,M12,12.9,2,50,80.0,171.48,0,合格,54
E0022,M16,8.8,0,-10,180.0,134.18,0,合格,105
E0023,M20,10.9,1,20,320.0,170.52,0,合格,97
E0024,M24,12.9,2,50,520.0,137.47,0,合格,143
E0025,M12,8.8,0,-10,80.0,143.64,0,合格,70
E0026,M16,10.9,1,20,180.0,171.55,0,合格,77
E0027,M20,12.9,2,50,320.0,154.77,0,合格,107
E0028,M24,8.8,0,-10,520.0,143.27,0,合格,165
E0029,M12,10.9,1,20,80.0,185.42,0,合格,48
E0030,M16,12.9,2,50,180.0,129.16,0,合格,97
E0031,M20,8.8,0,-10,320.0,118.54,0,合格,160
E0032,M24,10.9,1,20,520.0,117.61,0,合格,180
E0033,M12,12.9,2,50,80.0,177.69,0,合格,49
E0034,M16,8.8,0,-10,180.0,163.59,0,合格,90
E0035,M20,10.9,1,20,320.0,183.88,0,合格,91
E0036,M24,12.9,2,50,520.0,170.58,0,合格,120
E0037,M12,8.8,0,-10,80.0,119.91,0,合格,80
E0038,M16,10.9,1,20,180.0,153.04,0,合格,84
E0039,M20,12.9,2,50,320.0,139.84,0,合格,107
E0040,M24,8.8,0,-10,520.0,173.84,0,合格,136
E0041,M12,10.9,1,20,80.0,118.76,0,合格,78
E0042,M16,12.9,2,50,180.0,160.48,0,合格,81
E0043,M20,8.8,0,-10,320.0,186.63,0,合格,98
E0044,M24,10.9,1,20,520.0,164.4,0,合格,134
E0045,M12,12.9,2,50,80.0,110.08,0,合格,80
E0046,M16,8.8,0,-10,180.0,145.35,0,合格,100
E0047,M20,10.9,1,20,320.0,117.44,0,合格,152
E0048,M24,12.9,2,50,520.0,142.06,0,合格,139
E0049,M12,8.8,0,-10,80.0,195.18,0,合格,50
E0050,M16,10.9,1,20,180.0,154.95,0,合格,88
E0051,M20,12.9,2,50,320.0,125.83,0,合格,124
E0052,M24,8.8,0,-10,520.0,156.46,0,合格,150
E0053,M12,10.9,1,20,80.0,166.8,0,合格,55
E0054,M16,12.9,2,50,180.0,166.53,0,合格,73
E0055,M20,8.8,0,-10,320.0,152.21,0,合格,116
E0056,M24,10.9,1,20,520.0,121.01,0,合格,181
E0057,M12,12.9,2,50,80.0,138.39,0,合格,67
E0058,M16,8.8,0,-10,180.0,147.54,0,合格,98
E0059,M20,10.9,1,20,320.0,162.25,0,合格,104
E0060,M24,12.9,2,50,520.0,165.95,0,合格,113
E0061,M12,8.8,0,-10,80.0,135.64,0,合格,74
E0062,M16,10.9,1,20,180.0,169.47,0,合格,77
E0063,M20,12.9,2,50,320.0,188.54,0,合格,86
E0064,M24,8.8,0,-10,520.0,186.86,0,合格,126
E0065,M12,10.9,1,20,80.0,118.15,0,合格,81
E0066,M16,12.9,2,50,180.0,112.46,0,合格,111
E0067,M20,8.8,0,-10,320.0,166.84,0,合格,109
E0068,M24,10.9,1,20,520.0,162.05,0,合格,134
E0069,M12,12.9,2,50,80.0,136.05,0,合格,66
E0070,M16,8.8,0,-10,180.0,152.49,0,合格,96
E0071,M20,10.9,1,20,320.0,135.36,0,合格,130
E0072,M24,12.9,2,50,520.0,156.83,0,合格,129
E0073,M12,8.8,0,-10,80.0,152.9,0,合格,63
E0074,M16,10.9,1,20,180.0,141.44,0,合格,92
